date,dailycase,acccase,Mnuminter,Cnuminter,Mnumvac,Cnumvac
2022-01-04,41971.0,2409017.0,80.0,27.0,31.0,7.0
2022-01-05,44519.0,2453536.0,54.0,38.0,41.0,10.0
2022-01-06,47424.0,2500960.0,35.0,30.0,43.0,13.0
2022-01-07,44427.0,2545387.0,41.0,10.0,68.0,9.0
2022-01-08,39948.0,2585335.0,29.0,12.0,49.0,18.0
2022-01-09,30028.0,2615363.0,21.0,13.0,55.0,5.0
2022-01-10,31979.0,2647342.0,24.0,18.0,40.0,13.0
2022-01-11,32712.0,2680054.0,26.0,16.0,55.0,10.0
2022-01-12,32407.0,2712461.0,25.0,14.0,97.0,6.0
2022-01-13,30246.0,2742707.0,27.0,16.0,85.0,3.0
2022-01-14,31022.0,2773729.0,22.0,10.0,68.0,4.0
2022-01-15,26039.0,2799768.0,31.0,22.0,22.0,3.0
2022-01-16,21525.0,2821293.0,24.0,14.0,29.0,1.0
2022-01-17,20493.0,2841786.0,17.0,11.0,21.0,5.0
2022-01-18,21394.0,2863180.0,18.0,13.0,31.0,1.0
2022-01-19,22177.0,2885357.0,14.0,17.0,32.0,2.0
2022-01-20,22315.0,2907672.0,30.0,12.0,29.0,1.0
2022-01-21,20301.0,2927973.0,19.0,9.0,30.0,5.0
2022-01-22,17679.0,2945652.0,19.0,17.0,18.0,1.0
2022-01-23,13263.0,2958915.0,21.0,11.0,20.0,4.0
2022-01-24,14318.0,2973233.0,25.0,8.0,46.0,5.0
2022-01-25,18499.0,2991732.0,32.0,13.0,28.0,10.0
2022-01-26,18640.0,3010372.0,18.0,19.0,63.0,5.0
2022-01-27,17610.0,3027982.0,81.0,32.0,52.0,6.0
2022-01-28,16877.0,3044859.0,67.0,37.0,63.0,7.0
2022-01-29,12740.0,3057599.0,108.0,52.0,92.0,17.0
2022-01-30,10721.0,3068320.0,138.0,42.0,173.0,20.0
2022-01-31,11371.0,3079691.0,106.0,65.0,105.0,25.0
2022-02-01,14465.0,3094156.0,70.0,32.0,59.0,14.0
2022-02-02,14447.0,3108603.0,89.0,42.0,56.0,4.0
2022-02-03,13070.0,3121673.0,75.0,40.0,47.0,7.0
2022-02-04,12562.0,3134235.0,112.0,62.0,54.0,16.0
2022-02-05,9851.0,3144086.0,145.0,54.0,47.0,19.0
2022-02-06,7846.0,3151932.0,110.0,59.0,59.0,10.0
2022-02-07,9058.0,3160990.0,117.0,61.0,75.0,15.0
2022-02-08,10737.0,3171727.0,93.0,49.0,80.0,11.0
2022-02-09,10325.0,3182052.0,129.0,63.0,43.0,9.0
2022-02-10,9477.0,3191529.0,95.0,67.0,53.0,16.0
2022-02-11,9000.0,3200529.0,75.0,40.0,44.0,5.0
2022-02-12,7774.0,3208303.0,80.0,46.0,29.0,4.0
2022-02-13,5059.0,3213362.0,87.0,35.0,39.0,10.0
2022-02-14,6769.0,3220131.0,71.0,33.0,23.0,7.0
